lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:21:11,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:21:31,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:21:51,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:22:10,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:22:30,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:22:50,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:23:09,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:23:29,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:23:48,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
0.73 ,0.72 ,0.73 ,-0.22 ,-23.16% ,"87,001 ","10,210 ",12.57% ,530.0,22:24:08,2.23 ,2.22 ,2.27 ,-0.73 ,-24.66% ,"7,668 ","10,029 ",11.87% 
