TimeOfDay,Price,Change,%Change,Volume
22:21:11,528.39,+0.59,(+0.11%),"31,377,520 "
22:21:31,528.39,+0.59,(+0.11%),"31,377,520 "
22:21:50,528.39,+0.59,(+0.11%),"31,377,520 "
22:22:10,528.39,+0.59,(+0.11%),"31,377,520 "
22:22:30,528.39,+0.59,(+0.11%),"31,377,520 "
22:22:50,528.39,+0.59,(+0.11%),"31,377,520 "
22:23:09,528.39,+0.59,(+0.11%),"31,377,520 "
22:23:29,528.39,+0.59,(+0.11%),"31,377,520 "
22:23:48,528.39,+0.59,(+0.11%),"31,377,520 "
22:24:08,528.39,+0.59,(+0.11%),"31,377,520 "
22:24:30,528.39,+0.59,(+0.11%),"31,377,520 "
22:24:50,528.39,+0.59,(+0.11%),"31,377,520 "
22:25:12,528.39,+0.59,(+0.11%),"31,377,520 "
22:25:32,528.39,+0.59,(+0.11%),"31,377,520 "
22:25:52,528.39,+0.59,(+0.11%),"31,377,520 "
22:26:13,528.39,+0.59,(+0.11%),"31,377,520 "
22:26:34,528.39,+0.59,(+0.11%),"31,377,520 "
22:26:54,528.39,+0.59,(+0.11%),"31,377,520 "
22:27:13,528.39,+0.59,(+0.11%),"31,377,520 "
22:27:33,528.39,+0.59,(+0.11%),"31,377,520 "
22:27:53,528.39,+0.59,(+0.11%),"31,377,520 "
22:28:13,528.39,+0.59,(+0.11%),"31,377,520 "
22:28:32,528.39,+0.59,(+0.11%),"31,377,520 "
22:28:52,528.39,+0.59,(+0.11%),"31,377,520 "
22:29:12,528.39,+0.59,(+0.11%),"31,377,520 "
22:29:31,528.39,+0.59,(+0.11%),"31,377,520 "
22:29:51,528.39,+0.59,(+0.11%),"31,377,520 "
22:30:15,528.39,+0.59,(+0.11%),"31,377,520 "
22:30:35,528.39,+0.59,(+0.11%),"31,377,520 "
22:30:54,528.39,+0.59,(+0.11%),"31,377,520 "
22:31:14,528.39,+0.59,(+0.11%),"31,377,520 "
22:31:33,528.39,+0.59,(+0.11%),"31,377,520 "
22:31:53,528.39,+0.59,(+0.11%),"31,377,520 "
22:32:13,528.39,+0.59,(+0.11%),"31,377,520 "
22:32:32,528.39,+0.59,(+0.11%),"31,377,520 "
22:32:52,528.39,+0.59,(+0.11%),"31,377,520 "
22:33:12,528.39,+0.59,(+0.11%),"31,377,520 "
22:33:32,528.39,+0.59,(+0.11%),"31,377,520 "
22:33:52,528.39,+0.59,(+0.11%),"31,377,520 "
22:34:11,528.39,+0.59,(+0.11%),"31,377,520 "
22:34:31,528.39,+0.59,(+0.11%),"31,377,520 "
22:34:51,528.39,+0.59,(+0.11%),"31,377,520 "
22:35:11,528.39,+0.59,(+0.11%),"31,377,520 "
22:35:31,528.39,+0.59,(+0.11%),"31,377,520 "
22:35:50,528.39,+0.59,(+0.11%),"31,377,520 "
22:36:10,528.39,+0.59,(+0.11%),"31,377,520 "
22:36:30,528.39,+0.59,(+0.11%),"31,377,520 "
22:36:50,528.39,+0.59,(+0.11%),"31,377,520 "
22:37:10,528.39,+0.59,(+0.11%),"31,377,520 "
22:37:29,528.39,+0.59,(+0.11%),"31,377,520 "
22:37:49,528.39,+0.59,(+0.11%),"31,377,520 "
22:38:09,528.39,+0.59,(+0.11%),"31,377,520 "
22:38:29,528.39,+0.59,(+0.11%),"31,377,520 "
22:38:48,528.39,+0.59,(+0.11%),"31,377,520 "
22:39:08,528.39,+0.59,(+0.11%),"31,377,520 "
22:39:28,528.39,+0.59,(+0.11%),"31,377,520 "
22:39:47,528.39,+0.59,(+0.11%),"31,377,520 "
22:40:07,528.39,+0.59,(+0.11%),"31,377,520 "
22:40:27,528.39,+0.59,(+0.11%),"31,377,520 "
22:40:47,528.39,+0.59,(+0.11%),"31,377,520 "
22:41:07,528.39,+0.59,(+0.11%),"31,377,520 "
22:41:26,528.39,+0.59,(+0.11%),"31,377,520 "
22:41:46,528.39,+0.59,(+0.11%),"31,377,520 "
22:42:06,528.39,+0.59,(+0.11%),"31,377,520 "
22:42:26,528.39,+0.59,(+0.11%),"31,377,520 "
22:42:46,528.39,+0.59,(+0.11%),"31,377,520 "
22:43:06,528.39,+0.59,(+0.11%),"31,377,520 "
22:43:26,528.39,+0.59,(+0.11%),"31,377,520 "
22:43:46,528.39,+0.59,(+0.11%),"31,377,520 "
22:44:06,528.39,+0.59,(+0.11%),"31,377,520 "
22:44:25,528.39,+0.59,(+0.11%),"31,377,520 "
22:44:45,528.39,+0.59,(+0.11%),"31,377,520 "
22:45:05,528.39,+0.59,(+0.11%),"31,377,520 "
22:45:25,528.39,+0.59,(+0.11%),"31,377,520 "
22:45:44,528.39,+0.59,(+0.11%),"31,377,520 "
22:46:04,528.39,+0.59,(+0.11%),"31,377,520 "
22:46:24,528.39,+0.59,(+0.11%),"31,377,520 "
22:46:44,528.39,+0.59,(+0.11%),"31,377,520 "
22:47:03,528.39,+0.59,(+0.11%),"31,377,520 "
22:47:23,528.39,+0.59,(+0.11%),"31,377,520 "
22:47:43,528.39,+0.59,(+0.11%),"31,377,520 "
22:48:02,528.39,+0.59,(+0.11%),"31,377,520 "
22:48:22,528.39,+0.59,(+0.11%),"31,377,520 "
22:48:42,528.39,+0.59,(+0.11%),"31,377,520 "
22:49:01,528.39,+0.59,(+0.11%),"31,377,520 "
