TimeOfDay,Price,10minSD,10minAverage,%Change,Volume
09:33:41,530.19,0,0,(+0.34%),"2,242,094 "
09:34:40,530.28,0,0,(+0.36%),"2,456,228 "
09:35:40,530.29,0,0,(+0.36%),"2,674,469 "
09:36:40,530.13,0,0,(+0.33%),"2,799,327 "
09:37:40,530.19,0,0,(+0.34%),"2,923,106 "
09:38:40,530.02,0,0,(+0.31%),"3,028,350 "
09:39:40,530.00,0,0,(+0.30%),"3,127,176 "
09:40:40,529.91,0,0,(+0.29%),"3,228,345 "
09:41:40,530.05,0,0,(+0.31%),"3,301,949 "
09:42:40,530.04,0,0,(+0.31%),"3,353,154 "
09:43:39,530.12,0,0,(+0.33%),"3,414,700 "
09:44:39,530.23,0,0,(+0.35%),"3,473,246 "
09:45:40,530.13,0,0,(+0.33%),"3,628,092 "
09:46:39,530.12,0,0,(+0.33%),"3,739,026 "
09:47:39,530.19,0,0,(+0.34%),"3,833,242 "
09:48:39,530.03,0,0,(+0.31%),"3,925,330 "
09:49:38,529.99,0,0,(+0.30%),"4,007,654 "
09:50:38,529.58,0,0,(+0.22%),"4,197,223 "
09:51:38,529.73,0,0,(+0.25%),"4,315,771 "
09:52:38,529.97,0,0,(+0.30%),"4,408,073 "
09:53:38,530.09,0,0,(+0.32%),"4,509,050 "
09:54:38,529.85,0,0,(+0.28%),"4,569,057 "
09:55:38,529.90,0,0,(+0.29%),"4,625,233 "
09:56:38,529.87,0,0,(+0.28%),"4,685,562 "
09:57:38,529.90,0,0,(+0.28%),"4,756,339 "
09:58:37,529.94,0,0,(+0.29%),"4,811,247 "
09:59:37,529.93,0,0,(+0.29%),"4,863,138 "
10:00:37,529.57,0,0,(+0.22%),"5,278,252 "
10:01:37,529.76,0,0,(+0.26%),"5,482,031 "
10:02:37,529.81,0,0,(+0.27%),"5,629,966 "
10:03:37,529.65,0,0,(+0.24%),"5,727,490 "
10:04:37,529.64,0,0,(+0.24%),"5,812,265 "
10:05:37,529.53,0,0,(+0.22%),"5,873,450 "
10:06:36,529.30,0,0,(+0.17%),"5,959,315 "
10:07:36,529.30,0,0,(+0.17%),"6,064,230 "
10:08:36,529.27,0,0,(+0.17%),"6,138,155 "
10:09:35,529.01,0,0,(+0.12%),"6,221,393 "
10:10:35,529.13,0,0,(+0.14%),"6,347,128 "
10:11:35,529.25,0,0,(+0.16%),"6,404,893 "
10:12:35,529.38,0,0,(+0.19%),"6,493,993 "
10:13:34,529.37,0,0,(+0.19%),"6,542,599 "
10:14:34,529.39,0,0,(+0.19%),"6,628,949 "
10:15:34,529.36,0,0,(+0.18%),"6,725,154 "
10:16:34,529.40,0,0,(+0.19%),"6,805,411 "
10:17:34,529.43,0,0,(+0.20%),"6,896,480 "
10:18:33,529.43,0,0,(+0.20%),"6,991,293 "
10:19:34,529.32,0,0,(+0.18%),"7,050,749 "
10:20:33,529.58,0,0,(+0.23%),"7,099,362 "
10:21:33,529.59,0,0,(+0.23%),"7,169,949 "
10:22:34,529.76,0,0,(+0.26%),"7,309,483 "
10:23:33,529.96,0,0,(+0.30%),"7,430,796 "
10:24:33,530.22,0,0,(+0.35%),"7,590,927 "
10:25:33,530.24,0,0,(+0.35%),"7,830,150 "
10:26:33,530.13,0,0,(+0.33%),"7,985,361 "
10:27:33,530.06,0,0,(+0.32%),"8,125,092 "
10:28:33,530.17,0,0,(+0.34%),"8,285,221 "
10:29:32,530.18,0,0,(+0.34%),"8,357,712 "
10:30:32,530.33,0,0,(+0.37%),"8,443,111 "
10:31:32,530.49,0,0,(+0.40%),"8,575,162 "
10:32:32,530.59,0,0,(+0.42%),"8,719,314 "
10:33:31,530.73,0,0,(+0.44%),"8,876,098 "
10:34:31,530.94,0,0,(+0.48%),"9,019,451 "
10:35:31,531.04,0,0,(+0.50%),"9,146,800 "
10:36:30,531.05,0,0,(+0.50%),"9,229,785 "
10:37:30,531.02,0,0,(+0.50%),"9,422,646 "
10:38:30,531.04,0,0,(+0.50%),"9,503,166 "
10:39:30,530.85,0,0,(+0.47%),"9,633,799 "
10:40:30,530.95,0,0,(+0.48%),"9,719,447 "
10:41:31,531.04,0,0,(+0.50%),"9,779,592 "
10:42:31,530.75,0,0,(+0.45%),"9,859,639 "
10:43:30,530.67,0,0,(+0.43%),"10,049,077 "
10:44:30,530.58,0,0,(+0.41%),"10,113,312 "
10:45:30,530.56,0,0,(+0.41%),"10,242,089 "
10:46:29,530.68,0,0,(+0.43%),"10,313,007 "
10:47:30,530.68,0,0,(+0.43%),"10,350,350 "
10:48:29,530.92,0,0,(+0.48%),"10,418,671 "
10:49:29,530.90,0,0,(+0.48%),"10,471,774 "
10:50:29,530.73,0,0,(+0.44%),"10,530,686 "
10:51:29,530.84,0,0,(+0.46%),"10,576,585 "
10:52:28,530.76,0,0,(+0.45%),"10,616,296 "
10:53:28,530.88,0,0,(+0.47%),"10,649,222 "
10:54:28,530.97,0,0,(+0.49%),"10,682,090 "
10:55:27,530.93,0,0,(+0.48%),"10,759,921 "
