lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
8.09 ,0.00 ,0.00 ,0.00 ,0.00% ,"2,553 ",113 ,0.00% ,544.23,539.0,09:30:02,0.15 ,0.00 ,0.00 ,0.00 ,0.00% ,"17,131 ","14,593 ",3.13% 
8.09 ,5.14 ,5.29 ,0.00 ,0.00% ,"2,553 ",113 ,21.58% ,544.42,539.0,09:31:02,0.20 ,0.16 ,0.17 ,0.05 ,31.25% ,175 ,"14,593 ",12.40% 
8.09 ,5.14 ,5.29 ,0.00 ,0.00% ,"2,553 ",113 ,18.65% ,544.61,539.0,09:32:02,0.19 ,0.18 ,0.19 ,0.04 ,26.67% ,382 ,"14,593 ",13.38% 
5.60 ,5.66 ,5.79 ,-2.49 ,-30.78% ,2 ,113 ,24.68% ,544.3,539.0,09:33:02,0.11 ,0.15 ,0.16 ,-0.04 ,-26.67% ,664 ,"14,593 ",12.77% 
5.60 ,5.66 ,5.79 ,-2.49 ,-30.78% ,2 ,113 ,24.56% ,544.59,539.0,09:34:02,0.13 ,0.12 ,0.13 ,-0.02 ,-13.33% ,980 ,"14,593 ",12.16% 
5.60 ,5.66 ,5.79 ,-2.49 ,-30.78% ,2 ,113 ,23.44% ,544.78,539.0,09:35:02,0.13 ,0.12 ,0.13 ,-0.02 ,-13.33% ,"1,310 ","14,593 ",12.40% 
5.77 ,5.58 ,5.69 ,-2.32 ,-28.68% ,9 ,113 ,23.71% ,544.83,539.0,09:36:02,0.10 ,0.11 ,0.12 ,-0.05 ,-31.25% ,"1,890 ","14,593 ",11.87% 
5.77 ,5.58 ,5.69 ,-2.32 ,-28.68% ,9 ,113 ,26.25% ,544.66,539.0,09:37:02,0.10 ,0.09 ,0.10 ,-0.05 ,-35.71% ,"2,322 ","14,593 ",10.79% 
5.66 ,5.83 ,5.94 ,-2.43 ,-29.63% ,11 ,113 ,30.64% ,544.35,539.0,09:38:02,0.10 ,0.09 ,0.10 ,-0.05 ,-33.33% ,"2,375 ","14,593 ",10.30% 
5.66 ,5.83 ,5.94 ,-2.43 ,-29.63% ,11 ,113 ,27.71% ,544.27,539.0,09:39:03,0.10 ,0.09 ,0.10 ,-0.05 ,-33.33% ,"2,888 ","14,593 ",11.04% 
5.48 ,5.41 ,5.54 ,-2.61 ,-32.26% ,14 ,113 ,25.56% ,544.34,539.0,09:40:02,0.12 ,0.11 ,0.12 ,-0.03 ,-20.00% ,"3,536 ","14,593 ",11.04% 
5.48 ,5.41 ,5.54 ,-2.61 ,-32.26% ,14 ,113 ,23.37% ,544.07,539.0,09:41:02,0.12 ,0.12 ,0.13 ,-0.03 ,-20.00% ,"3,669 ","14,593 ",11.77% 
5.48 ,5.41 ,5.54 ,-2.61 ,-32.26% ,14 ,113 ,24.78% ,544.12,539.0,09:42:02,0.15 ,0.12 ,0.13 ,0.00 ,0.00% ,"4,054 ","14,593 ",11.45% 
5.21 ,5.18 ,5.28 ,-2.88 ,-35.60% ,37 ,113 ,20.07% ,543.7,539.0,09:43:02,0.14 ,0.13 ,0.14 ,-0.01 ,-6.67% ,"4,358 ","14,593 ",12.06% 
5.21 ,5.18 ,5.28 ,-2.88 ,-35.60% ,37 ,113 ,18.36% ,543.75,539.0,09:44:02,0.16 ,0.13 ,0.14 ,0.01 ,6.67% ,"4,734 ","14,593 ",12.38% 
