TimeOfDay,Price,Change,%Change,Volume
15:49:42,528.02,+0.22,(+0.04%),"27,418,592 "
15:50:02,528.07,+0.27,(+0.05%),"27,497,565 "
15:50:23,528.21,+0.41,(+0.08%),"27,529,182 "
15:50:44,528.26,+0.46,(+0.09%),"27,627,742 "
15:51:05,528.35,+0.55,(+0.10%),"27,681,021 "
15:51:25,528.52,+0.72,(+0.14%),"27,753,170 "
15:51:46,528.51,+0.71,(+0.13%),"27,819,794 "
15:52:06,528.39,+0.59,(+0.11%),"27,889,120 "
15:52:27,528.41,+0.61,(+0.12%),"27,966,968 "
15:52:47,528.24,+0.45,(+0.08%),"28,044,324 "
15:53:08,528.15,+0.35,(+0.07%),"28,121,013 "
15:53:29,528.26,+0.46,(+0.09%),"28,197,649 "
15:53:50,528.32,+0.52,(+0.10%),"28,235,152 "
15:54:10,528.33,+0.53,(+0.10%),"28,306,069 "
15:54:31,528.42,+0.62,(+0.12%),"28,375,452 "
15:54:53,528.38,+0.58,(+0.11%),"28,445,052 "
15:55:13,528.30,+0.50,(+0.09%),"28,543,188 "
15:55:34,528.12,+0.32,(+0.06%),"28,615,489 "
15:55:55,528.23,+0.43,(+0.08%),"28,697,033 "
15:56:16,528.25,+0.45,(+0.09%),"28,780,301 "
15:56:36,528.29,+0.49,(+0.09%),"28,851,909 "
15:56:57,528.26,+0.46,(+0.09%),"28,919,135 "
15:57:17,528.29,+0.49,(+0.09%),"28,992,736 "
15:57:37,528.35,+0.55,(+0.10%),"29,049,304 "
15:57:57,528.40,+0.60,(+0.11%),"29,111,429 "
15:58:17,528.41,+0.61,(+0.12%),"29,226,702 "
15:58:37,528.40,+0.60,(+0.11%),"29,321,127 "
15:58:57,528.40,+0.60,(+0.11%),"29,436,988 "
15:59:17,528.40,+0.60,(+0.11%),"29,649,324 "
15:59:37,528.46,+0.66,(+0.13%),"29,939,197 "
